firstname,id,profile,distance,elevation,runs
Becky,3615600,https://dgalywyr863hv.cloudfront.net/pictures/athletes/3615600/8070682/1/large.jpg,79552.7,742.0,10
Carla,6754334,https://dgalywyr863hv.cloudfront.net/pictures/athletes/6754334/8471936/1/large.jpg,25270.9,254.6,4
Chad,4099924,https://dgalywyr863hv.cloudfront.net/pictures/athletes/4099924/1391682/3/large.jpg,298521.9,1704.0,22
Colin,1787089,https://graph.facebook.com/509358918/picture?height=256&width=256,25249.0,413.4,4
Curtis,26519143,https://dgalywyr863hv.cloudfront.net/pictures/athletes/26519143/7824204/2/large.jpg,25015.8,318.5,4
Emily,24976312,https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,8419.7,73.30000000000001,2
Emma,15194073,https://dgalywyr863hv.cloudfront.net/pictures/athletes/15194073/4567132/1/large.jpg,131185.8,974.9,19
Jennifer,4608020,https://dgalywyr863hv.cloudfront.net/pictures/athletes/4608020/1458850/1/large.jpg,41448.1,416.2,8
Katie,19290514,https://dgalywyr863hv.cloudfront.net/pictures/athletes/19290514/5517687/4/large.jpg,46914.5,738.2,7
Katrina,27642462,avatar/athlete/large.png,4481.0,88.3,1
Kayla,19701459,https://dgalywyr863hv.cloudfront.net/pictures/athletes/19701459/5645347/2/large.jpg,48276.0,551.0,8
Matthew,5818421,https://dgalywyr863hv.cloudfront.net/pictures/athletes/5818421/3450828/4/large.jpg,134738.6,1960.9,18
Peter,19517612,https://dgalywyr863hv.cloudfront.net/pictures/athletes/19517612/5655824/1/large.jpg,25364.4,371.2,4
Sarah,7353258,https://dgalywyr863hv.cloudfront.net/pictures/athletes/7353258/2223600/2/large.jpg,18766.5,272.9,3
Mark,14976880,https://dgalywyr863hv.cloudfront.net/pictures/athletes/14976880/5569495/4/large.jpg,128938.5,1727.7,17
